"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: REEVES"
"Date Range: Jan 2020 - Mar 2026"

"Field Name","Field No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"SAND BEND DRAW (RAMSEY)",80449370,20591,0,0,0
"SAND LAKE (ATOKA)",80509333,0,0,4850,0
"SAND LAKE (DELAWARE)",80509666,0,0,0,0
"SAND LAKE, WEST (CHERRY CANYON)",80513300,0,0,0,0
"SANDBAR (BONE SPRING)",80544500,30205176,53935332,87670287,14377839
"SCOTT (CHERRY CANYON)",81738200,732,6599,0,0
"SCOTT (DELAWARE)",81738250,23616,61246,0,0
"SCREWBEAN (DELAWARE)",81818333,9530,0,0,0
"SCREWBEAN, NE. (DELAWARE)",81821333,7634,0,0,0
"SMITH CALDWELL (FUSSELMAN)",84270200,0,0,68604,0
"SULLIVAN (DELAWARE)",87025500,99296,0,0,0
"TMBRING (CHERRY CANYON)",90249075,0,0,0,0
"TMBRING (DEVONIAN)",90249080,0,0,87450,0
"TORO (DELAWARE)",90781200,85493,32605,0,0
"TORO (DEVONIAN)",90781400,0,0,465928,6
"TORO (ELLENBURGER)",90781600,0,0,7280088,4
"TORO (FUSSELMAN)",90781800,0,0,0,0
"TOYAH (DEVONIAN)",90880250,0,0,0,0
"TOYAH (PENN. 11350)",90880500,0,0,0,0
"TOYAH, NW (SHALE)",90890700,0,0,1051099,105
"TOYAH LAKE, WEST (DELAWARE)",90894500,0,0,0,0
TUNSTILL,91817001,175617,0,0,0
"TUNSTILL (CHERRY CANYON -F-)",91817075,0,0,0,0
"TUNSTILL (DELAWARE)",91817500,0,0,0,0
"TUNSTILL (OLDS)",91817750,0,0,0,0
"TWO GEORGES (BONE SPRING)",92100050,2120915,8703798,0,0
"TWOFREDS (DELAWARE)",92141333,0,0,0,0
"UNA MAS (CHERRY CANYON)",92400300,22131,0,0,0
VERHALEN,93545001,0,0,0,0
"VERMEJO (DELAWARE)",93584300,0,0,0,0
"WAHA (ATOKA)",94648002,0,0,113662,0
"WAHA (CHERRY CANYON-H2S DISP)",94648100,0,0,0,0
"WAHA (DELAWARE)",94648166,38413,69860,319454,844
"WAHA (DEVONIAN)",94648332,0,0,10233,0
"WAHA (ELLENBURGER)",94648498,0,0,2461066,145
"WAHA (GAS STORAGE)",94648510,0,0,0,0
"WAHA (KINDERHOOK)",94648581,0,0,629501,166
"WAHA (MISSISSIPPIAN)",94648664,0,0,1666162,1439
"WAHA (MONTOYA)",94648830,0,0,1831349,1790
"WAHA (MONTOYA FB-2)",94648835,0,0,2809595,5268
"WAHA, NORTH (DELAWARE SAND)",94650333,85616,39816,0,0
"WAHA, W. (CHERRY CANYON)",94656075,0,0,0,0
"WAHA, W. (CONSOLIDATED DELAWARE)",94656086,163765,344318,0,0
"WAHA, WEST (DELAWARE)",94656111,5834,7228,0,0
"WAHA, WEST (DEVONIAN)",94656500,0,0,2898730,115
"WAHA, WEST (ELLENBURGER)",94656555,0,0,3086266,122
WHEAT,96742001,0,0,0,0
"WHIPTAIL (LWR. WOLFCAMP-PENN)",96813500,0,0,0,0
"WILLOUGH (BELL CANYAN)",97718100,0,0,0,0
"WOLFBONE (TREND AREA)",98359800,202414450,534250647,6594693,817623
"WORSHAM (CASTILE)",98817250,0,0,0,0
"WORSHAM (CHERRY CANYON)",98817500,57347,576051,177785,15867
"WORSHAM (DELAWARE)",98817750,2268,56101,161595,2720
"WORSHAM (DELAWARE SAND)",98817775,78459,793886,0,0
"WORSHAM, EAST (CHERRY CANYON)",98818500,23735,66088,7450,830
"WORSHAM, NORTH (DEVONIAN)",98819390,0,0,0,0
"WORSHAM, NORTH (FUSSELMAN)",98819500,0,0,154981,133
"WORSHAM, SOUTH (DELAWARE SAND)",98821750,2307,156,0,0
"WORSHAM, SW. (DELAWARE)",98823500,0,0,0,0
"WORSHAM-BAYER (ATOKA)",98837166,0,0,581773,6002
"WORSHAM-BAYER (DEVONIAN)",98837332,0,0,2023480,148
"WORSHAM-BAYER (ELLEN.)",98837498,0,0,2186449,93
"WORSHAM-BAYER (FUSSELMAN)",98837550,0,0,52447,12
"WORSHAM-BAYER (PENN.)",98837664,0,0,720817,4729
"ZUMA (DELAWARE)",99902600,0,0,0,0
Total,,508746129,1511621578,5485930094,610043583
