Date,Oil (BBL),Casinghead (MCF),GW Gas (MCF),Condensate (BBL),Gas (MCF),County,Year,Liquids (BBL),GOR (MCF/BBL Oil),GLR (MCF/BBL Liquids)
2025-06-01,7094025,21842355,79597840,7820051,101440195,Reeves,2025,14914076,14.299385045866064,6.801641281699248
2025-07-01,7148087,22231707,85007786,8389514,107239493,Reeves,2025,15537601,15.002544456999473,6.901933766995304
2025-08-01,6810458,21986715,85512185,8411441,107498900,Reeves,2025,15221899,15.784386307058938,7.062121486944566
2025-09-01,6311398,20756765,80240286,8130677,100997051,Reeves,2025,14442075,16.00232642593606,6.99325069285404
2025-10-01,6505302,20999691,75904220,7861772,96903911,Reeves,2025,14367074,14.896143330471054,6.744860574950752
2025-11-01,6565361,21674204,77024524,8047578,98698728,Reeves,2025,14612939,15.033252246144576,6.754201054284836
2025-12-01,7030339,23020802,80011891,8363174,103032693,Reeves,2025,15393513,14.655437383602697,6.693254034995131
2026-01-01,6450339,20948331,76989144,7790160,97937475,Reeves,2026,14240499,15.183306644813552,6.877390672897066
2026-02-01,5849687,19515296,71823462,7066485,91338758,Reeves,2026,12916172,15.614298337671743,7.071658537839229
2026-03-01,6193492,21556033,74951995,7702514,96508028,Reeves,2026,13896006,15.582167216814037,6.94501916593876
2020-01-01,7258729,15458848,19963658,4621232,35422506,Loving,2020,11879961,4.879987391732079,2.981702212658779
2020-02-01,6979903,14758937,19183176,4287108,33942113,Loving,2020,11267011,4.862834483516462,3.012521510807081
2020-03-01,8177875,17601938,23640819,5469058,41242757,Loving,2020,13646933,5.043211959096953,3.0221264367605527
2020-04-01,7392785,16083269,21289985,4857119,37373254,Loving,2020,12249904,5.0553687142261,3.0509017866588994
2020-05-01,7412022,16103938,20827847,4568757,36931785,Loving,2020,11980779,4.982686910535344,3.0825862825781196
2020-06-01,6501210,14726208,19508466,4187818,34234674,Loving,2020,10689028,5.2658926569054065,3.2027864460641324
2020-07-01,6829857,15158748,19208714,4058167,34367462,Loving,2020,10888024,5.031944592690594,3.156446201808519
2020-08-01,6522080,14448634,18330389,3789132,32779023,Loving,2020,10311212,5.025854175355102,3.178968970863949
2020-09-01,6145167,13823902,18657006,3875340,32480908,Loving,2020,10020507,5.285602165083553,3.241443571667581
2020-10-01,6654125,14954549,19364199,4065759,34318748,Loving,2020,10719884,5.157514774669847,3.2014103883959937
2020-11-01,6458536,14479956,18116812,3760653,32596768,Loving,2020,10219189,5.047083116049829,3.1897607530304017
2020-12-01,6758652,14566762,19592320,4341217,34159082,Loving,2020,11099869,5.054126473740622,3.077431094006605
2021-01-01,6549945,14575801,22578659,5023689,37154460,Loving,2021,11573634,5.672484272768703,3.2102674060714205
2021-02-01,4617545,10191722,15858453,3465154,26050175,Loving,2021,8082699,5.641563861315916,3.2229549807558096
2021-03-01,6800184,15061789,20281262,4290381,35343051,Loving,2021,11090565,5.197366865367172,3.186767400939447
2021-04-01,6671928,15301699,20967488,4218041,36269187,Loving,2021,10889969,5.436087889437656,3.3305133375494456
2021-05-01,7032067,15991725,22099344,4446870,38091069,Loving,2021,11478937,5.416767075740319,3.318344634176492
2021-06-01,6213468,14254706,22199224,4695675,36453930,Loving,2021,10909143,5.866921661139963,3.3415942938872467
2021-07-01,6410162,14872268,24378469,4942114,39250737,Loving,2021,11352276,6.123205154565516,3.4575213816154577
2021-08-01,6718589,15417617,23457007,4616719,38874624,Loving,2021,11335308,5.786129200640194,3.429516339564836
2021-09-01,6708160,15328394,23617163,4594403,38945557,Loving,2021,11302563,5.805698880169823,3.445727929143151
2021-10-01,7389663,16629918,22812958,4267707,39442876,Loving,2021,11657370,5.337574392770009,3.3835141202518235
2021-11-01,7281670,16237490,22109927,4323300,38347417,Loving,2021,11604970,5.26629427040775,3.304396047555487
2021-12-01,8004430,18636281,24007713,4750048,42643994,Loving,2021,12754478,5.32754911967498,3.343452707355017
2022-01-01,7388117,16576433,23515153,4906435,40091586,Loving,2022,12294552,5.426495817540518,3.2609228868201137
2022-02-01,6351635,13889548,20737533,4313668,34627081,Loving,2022,10665303,5.451679921783919,3.246703914553576
2022-03-01,7442157,16669359,23946261,4883005,40615620,Loving,2022,12325162,5.457506472921762,3.295341675833551
2022-04-01,7443248,16971422,25022719,5087411,41994141,Loving,2022,12530659,5.6419107626133105,3.351311451376979
2022-05-01,7588128,17471295,26183076,5357097,43654371,Loving,2022,12945225,5.752982949154258,3.3722373307532316
2022-06-01,7059661,15892189,24139519,4974652,40031708,Loving,2022,12034313,5.670485877438025,3.3264639202919186
2022-07-01,7301698,16823238,26511419,5335321,43334657,Loving,2022,12637019,5.93487391562894,3.4291834965192343
2022-08-01,7000397,16453657,28518750,5857639,44972407,Loving,2022,12858036,6.424265223815164,3.497610910406535
2022-09-01,7151900,16928767,26742637,5316685,43671404,Loving,2022,12468585,6.106266027209553,3.5025148402966333
2022-10-01,7546659,17563919,26690296,5273822,44254215,Loving,2022,12820481,5.86408038312053,3.4518373374602715
2022-11-01,7579978,16831067,24825654,4972557,41656721,Loving,2022,12552535,5.4956255809713435,3.3185903086508026
2022-12-01,8173195,17926416,24647471,4849648,42573887,Loving,2022,13022843,5.208965037540398,3.2691699500638993
2023-01-01,8243494,18120311,25590250,5013527,43710561,Loving,2023,13257021,5.302431347678545,3.2971631409499915
2023-02-01,7232079,15882804,23696980,4764019,39579784,Loving,2023,11996098,5.472808579662916,3.299388184391291
2023-03-01,8546822,19100303,28111154,5458782,47211457,Loving,2023,14005604,5.523861032790902,3.3708976064152605
2023-04-01,7994328,17995421,26365914,4924063,44361335,Loving,2023,12918391,5.549101187742109,3.4339675118983473
2023-05-01,8138803,17991695,27773165,5344044,45764860,Loving,2023,13482847,5.623045551047249,3.394302405122598
2023-06-01,7728840,17565496,27243855,5034480,44809351,Loving,2023,12763320,5.7976812820552635,3.510791157786532
2023-07-01,8534493,19967427,27499962,5017520,47467389,Loving,2023,13552013,5.561828804593313,3.5026079889386175
2023-08-01,8183191,18533131,27305977,5050845,45839108,Loving,2023,13234036,5.601617755225315,3.4637285254475656
2023-09-01,7994207,18866648,26974752,4987635,45841400,Loving,2023,12981842,5.734327369806661,3.5311938013110926
2023-10-01,8050401,18501241,27085515,5046246,45586756,Loving,2023,13096647,5.662668977607451,3.480795962508572
2023-11-01,8329352,19879321,26640986,5067861,46520307,Loving,2023,13397213,5.585105179850726,3.4723869061423445
2023-12-01,9283565,21981796,28499724,5304864,50481520,Loving,2023,14588429,5.437730009969231,3.460380826475558
2024-01-01,8867133,21256518,28462763,5516930,49719281,Loving,2024,14384063,5.60714280478256,3.4565533396231647
2024-02-01,8613650,21027607,28500991,5492813,49528598,Loving,2024,14106463,5.750012828475733,3.5110571657828045
2024-03-01,9066644,22768727,30815282,5699069,53584009,Loving,2024,14765713,5.910015767686478,3.628948293929321
2024-04-01,8448350,21058335,28807350,5129534,49865685,Loving,2024,13577884,5.902417040013731,3.6725667268920548
2024-05-01,9404336,22417875,28353319,4929191,50771194,Loving,2024,14333527,5.398700556849521,3.5421284656595686
2024-06-01,9442292,23104283,29516582,5303273,52620865,Loving,2024,14745565,5.572891094662186,3.5685892673491995
2024-07-01,9171929,22894062,30921545,5601751,53815607,Loving,2024,14773680,5.86742516214419,3.642667703645943
2024-08-01,9368925,23577780,33457713,5860975,57035493,Loving,2024,15229900,6.087730769538661,3.7449683188990077
2024-09-01,9037711,22993047,32952794,5721897,55945841,Loving,2024,14759608,6.190266650482628,3.7904692997266594
2024-10-01,9472529,24033970,35491638,6202998,59525608,Loving,2024,15675527,6.284024889234965,3.7973592849541835
2024-11-01,9423683,23986424,32853754,5767397,56840178,Loving,2024,15191080,6.031630945141088,3.7416811707923334
2024-12-01,9639470,25307685,32261015,5414006,57568700,Loving,2024,15053476,5.972185192754373,3.8242795218858423
2025-01-01,9513198,24575727,31725466,5366144,56301193,Loving,2025,14879342,5.918219404242401,3.783849648727746
2025-02-01,8631425,22796967,29144626,4931018,51941593,Loving,2025,13562443,6.01773090770064,3.829810971371456
2025-03-01,9184928,24404553,32359652,5399739,56764205,Loving,2025,14584667,6.180146975566929,3.892046695341073
2025-04-01,9368532,24885897,33133111,5392370,58019008,Loving,2025,14760902,6.19296683834778,3.930586897738363
2025-05-01,9665024,25910689,35728545,5664878,61639234,Loving,2025,15329902,6.3775562274858295,4.020849839744573
2025-06-01,8940065,24142100,32680026,5061915,56822126,Loving,2025,14001980,6.355896293818893,4.058149347449432
2025-07-01,9704381,26029846,36169397,5769572,62199243,Loving,2025,15473953,6.409398291349031,4.019609145769023
2025-08-01,9529591,25797095,35545588,5624479,61342683,Loving,2025,15154070,6.4370740570083225,4.047934515282033
2025-09-01,9586578,25826927,32388932,5082734,58215859,Loving,2025,14669312,6.072642292171409,3.968547332008481
2025-10-01,10246726,27701376,32659165,5234208,60360541,Loving,2025,15480934,5.89071484882098,3.8990245033019324
2025-11-01,9623128,26804672,31248606,4976730,58053278,Loving,2025,14599858,6.03268272021322,3.97629059131945
2025-12-01,9760773,27285576,33099550,5261440,60385126,Loving,2025,15022213,6.186510638040655,4.0197223937644875
2026-01-01,9544676,26014167,33063119,5241921,59077286,Loving,2026,14786597,6.189553841324734,3.9953267137800537
2026-02-01,8820537,24890584,30051926,4676844,54942510,Loving,2026,13497381,6.228930279414961,4.070605252974633
2026-03-01,9555708,27775441,30718465,4724629,58493906,Loving,2026,14280337,6.121357622062122,4.096115238737013
